,responseid,group,start_date,quiz_start,end_date,quiz_time,age,already_know,nihss_form,nihss_elearning,neuro_work,our_module,score_all,q_base_1_score,q_base_2_score,q_base_3_score,q_base_4_score,q_base_5_score,con_glob_p1_score,con_quest_p1_score,con_con_p1_score,ocul_p1_score,vis_p1_score,fac_p1_score,mot_arm_l_p1_score,mot_arm_r_p1_score,mot_leg_l_p1_score,mot_leg_r_p1_score,atax_p1_score,sens_p1_score,lang_p1_score,dysart_p1_score,exinct_p1_score,con_glob_p2_score,con_quest_p2_score,con_con_p2_score,ocul_p2_score,vis_p2_score,fac_p2_score,mot_arm_l_p2_score,mot_arm_r_p2_score,mot_leg_l_p2_score,mot_leg_r_p2_score,atax_p2_score,sens_p2_score,lang_p2_score,dysart_p2_score,exinct_p2_score,con_glob_p3_score,con_quest_p3_score,con_con_p3_score,ocul_p3_score,vis_p3_score,fac_p3_score,mot_arm_l_p3_score,mot_arm_r_p3_score,mot_leg_l_p3_score,mot_leg_r_p3_score,atax_p3_score,sens_p3_score,lang_p3_score,dysart_p3_score,exinct_p3_score,length,satisfaction,recommend,difficulty
0,42,E-Learning,2020-04-30 09:05:13.728,2020-04-30 12:58:30.999,2020-04-30 13:33:55.584,34.0,24.0,Non,Non,,Non,,41,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
1,21,Video,2020-04-29 07:12:01.536,2020-05-01 12:11:12.000,2020-05-01 16:50:08.512,42.0,24.0,Non,Non,,Non,,31,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,Un peu trop courte,Très satisfait,"Oui, très probablement",Facile
2,900,Video,,2020-05-31 12:14:19.000,2020-05-31 12:33:41.888,19.0,,,,,,,32,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,Un peu trop longue,Neutre / sans opinion,Pas d'opinion,Facile
3,131,E-Learning,2020-05-20 07:45:17.312,2020-05-20 08:21:39.999,,15.0,25.0,Non,Non,,Non,,32,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,,,,
4,109,E-Learning,2020-05-13 13:22:16.192,2020-05-13 15:05:05.999,,32.0,24.0,Non,Non,,Non,,39,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,,,,
5,22,Video,2020-04-29 07:40:25.472,2020-05-12 12:43:43.999,2020-05-12 13:18:17.600,33.0,24.0,Oui,Non,,Non,,33,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,Adéquate,Satisfait,Plutôt oui,Facile
6,108,Video,2020-05-13 12:12:21.888,2020-05-14 13:10:30.000,2020-05-14 13:41:32.288,31.0,24.0,Non,Non,,Non,,37,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,Un peu trop longue,Satisfait,Plutôt oui,Difficile
7,17,Video,2020-04-28 17:10:58.816,2020-05-12 17:12:57.999,2020-05-12 18:32:51.968,57.0,23.0,Non,Oui,Non,Non,,30,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,Trop longue,Peu satisfait,"Non, certainement pas",Neutre / sans opinion
8,84,E-Learning,2020-05-12 07:15:39.648,2020-05-22 11:32:19.999,2020-05-22 12:15:23.136,41.0,23.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,Adéquate,Très satisfait,"Oui, très probablement",Facile
9,16,Video,2020-04-28 16:14:10.944,2020-04-29 15:35:50.000,2020-04-29 16:33:27.040,40.0,23.0,Oui,Oui,Non,Non,,36,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Facile
10,119,E-Learning,2020-05-15 13:01:49.440,2020-05-15 14:44:16.000,2020-05-15 15:21:38.048,35.0,23.0,Non,Non,,Non,,42,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
11,124,Video,2020-05-18 06:51:27.616,2020-05-18 07:52:31.000,2020-05-18 08:18:50.496,27.0,24.0,Non,Non,,Non,,35,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,Un peu trop longue,Satisfait,Plutôt oui,Difficile
12,83,E-Learning,2020-05-12 06:45:04.640,2020-05-12 12:42:51.000,2020-05-12 13:13:55.456,31.0,23.0,Non,Non,,Non,,39,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
13,901,Video,,2020-05-01 14:57:57.000,2020-05-01 15:20:34.560,23.0,,,,,,,34,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,Trop longue,Peu satisfait,Plutôt non,Neutre / sans opinion
14,156,Video,2020-05-30 11:13:15.776,2020-05-30 12:42:16.000,2020-05-30 13:37:26.528,54.0,27.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,Un peu trop longue,Satisfait,"Oui, très probablement",Difficile
15,116,E-Learning,2020-05-15 08:28:45.440,2020-05-15 12:28:46.000,2020-05-15 13:28:02.304,36.0,24.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Facile
16,153,Video,2020-05-28 12:43:36.832,2020-05-28 13:39:34.000,2020-05-28 17:34:09.408,27.0,24.0,Non,Non,,Non,,40,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
17,121,Video,2020-05-15 14:00:48.384,2020-05-15 15:04:51.000,2020-05-15 15:39:06.624,31.0,24.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
18,74,E-Learning,2020-05-11 13:01:12.576,2020-05-11 14:10:39.000,2020-05-11 14:46:04.032,27.0,24.0,Non,Non,,Non,,33,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,Adéquate,Satisfait,Plutôt oui,Facile
19,18,E-Learning,2020-04-28 17:17:32.032,2020-05-14 19:43:22.000,2020-05-14 20:19:07.392,25.0,26.0,Oui,Oui,Non,Non,,33,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,Un peu trop longue,Satisfait,"Oui, très probablement",Neutre / sans opinion
20,68,Video,2020-05-08 08:33:41.376,2020-05-13 09:02:37.999,2020-05-13 09:54:44.352,47.0,25.0,Non,Non,,Non,,34,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Adéquate,Satisfait,Plutôt oui,Très facile
21,76,Video,2020-05-11 15:21:01.184,2020-05-11 18:10:54.999,2020-05-11 20:15:55.904,125.0,25.0,Non,Oui,Non,Non,,31,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
22,92,E-Learning,2020-05-12 12:08:23.296,2020-05-12 14:45:16.999,2020-05-12 15:42:28.352,43.0,25.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,Un peu trop longue,Satisfait,Plutôt oui,Neutre / sans opinion
23,164,Video,2020-06-07 11:55:59.872,2020-06-07 12:36:16.999,,34.0,23.0,Non,Non,,Non,,34,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,,,,
24,112,E-Learning,2020-05-14 07:19:14.688,2020-05-14 09:53:20.000,2020-05-14 10:24:55.808,26.0,23.0,Non,Non,,Non,,36,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,Un peu trop longue,Très satisfait,"Oui, très probablement",Facile
25,20,Video,2020-04-29 07:05:28.320,2020-05-12 08:39:40.000,2020-05-12 09:13:37.536,29.0,25.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
26,96,E-Learning,2020-05-12 13:16:06.528,2020-05-14 17:15:51.000,,28.0,23.0,Non,Non,,Non,,32,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,,,,
27,110,Video,2020-05-13 13:57:13.344,2020-05-13 15:00:55.000,,37.0,25.0,Non,Non,,Non,,31,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,,,,
28,28,E-Learning,2020-04-29 09:49:18.720,2020-05-04 08:33:10.000,2020-05-04 09:21:08.096,39.0,24.0,Non,Non,,Non,,40,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,Un peu trop longue,Satisfait,Plutôt oui,Neutre / sans opinion
29,47,Video,2020-05-01 12:19:15.584,2020-05-01 13:36:31.999,,24.0,24.0,Non,Non,,Non,,39,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,,,,
30,133,E-Learning,2020-05-20 10:18:12.352,2020-05-20 11:28:14.999,2020-05-20 12:03:03.808,31.0,23.0,Non,Non,,Non,,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
31,54,Video,2020-05-04 07:53:45.216,2020-05-04 14:46:52.000,2020-05-06 08:16:59.904,,32.0,Non,Oui,Non,Non,,34,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,Un peu trop longue,Peu satisfait,Plutôt non,Difficile
32,85,E-Learning,2020-05-12 07:22:12.864,2020-05-12 08:36:13.999,2020-05-12 09:17:59.680,35.0,23.0,Non,Non,,Non,,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
33,38,E-Learning,2020-04-30 06:12:39.040,2020-04-30 08:54:22.000,2020-04-30 09:29:15.520,35.0,22.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Difficile
34,55,E-Learning,2020-05-04 08:13:24.864,2020-05-20 11:35:35.000,2020-05-20 12:09:37.024,28.0,24.0,Non,Non,,Non,,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
35,103,E-Learning,2020-05-13 06:35:56.800,2020-05-13 08:43:03.000,2020-05-13 09:32:53.632,35.0,23.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,Un peu trop longue,Satisfait,"Oui, très probablement",Facile
36,46,E-Learning,2020-04-30 13:44:50.944,2020-05-06 11:28:27.000,2020-05-06 12:08:33.536,34.0,22.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
37,73,Video,2020-05-11 07:31:20.704,2020-05-29 08:44:27.000,2020-05-29 09:17:52.512,33.0,41.0,Non,Non,,Non,,35,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,Adéquate,Neutre / sans opinion,Plutôt oui,Difficile
38,152,E-Learning,2020-05-28 08:28:01.408,2020-05-28 09:32:17.999,,23.0,22.0,Non,Non,,Non,,39,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,,,,
39,102,E-Learning,2020-05-12 21:14:31.296,2020-05-13 13:58:23.999,,69.0,25.0,Non,Non,,Oui,,39,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,,,,
40,36,Video,2020-04-29 16:22:31.680,2020-05-19 08:02:20.000,2020-05-19 09:13:03.744,48.0,23.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Difficile
41,145,E-Learning,2020-05-22 11:25:08.480,2020-05-22 14:03:26.000,,36.0,24.0,Non,Non,,Non,,40,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,,,,
42,130,Video,2020-05-20 07:40:55.168,2020-05-20 15:14:21.000,2020-05-20 15:50:15.296,35.0,24.0,Non,Non,,Non,,34,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,Adéquate,Satisfait,Plutôt oui,Facile
43,902,E-Learning,,2020-05-05 13:15:50.000,2020-05-05 13:53:48.544,32.0,,,,,,,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
44,52,Video,2020-05-03 09:32:27.008,2020-05-03 10:34:32.999,2020-05-03 11:26:02.752,43.0,25.0,Non,Non,,Non,,43,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
45,117,Video,2020-05-15 10:55:07.264,2020-05-20 12:07:37.000,,24.0,25.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,,,,
46,93,E-Learning,2020-05-12 12:08:23.296,2020-05-12 15:50:26.999,2020-05-13 10:27:30.432,32.0,25.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,Un peu trop longue,Satisfait,Plutôt oui,Facile
47,104,E-Learning,2020-05-13 07:39:17.888,2020-05-20 08:54:29.000,2020-05-20 09:30:08.768,34.0,28.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Facile
48,29,E-Learning,2020-04-29 10:35:11.232,2020-05-23 17:04:42.000,2020-05-23 17:31:45.024,27.0,27.0,Non,Non,,Non,,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Difficile
49,62,Video,2020-05-04 13:52:01.024,2020-05-04 15:24:21.999,2020-05-04 16:05:16.416,41.0,23.0,Non,Non,,Non,,39,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
